NAME,,SIO2ADJ,TIO2ADJ,AL2O3ADJ,FE2O3ADJ,FEOADJ,MNOADJ,MGOADJ,CAOADJ,NA2OADJ,K2OADJ,P2O5ADJ
SSC01,,52.07,1.72,13.83,2.60,7.43,0.163,6.57,9.46,3.85,1.77,0.540
SSC02,,52.87,1.65,13.98,2.41,6.88,0.154,6.26,9.59,3.91,1.78,0.524
SSC03,,52.95,1.67,14.21,2.34,6.69,0.153,6.16,9.50,3.98,1.88,0.471
SSC04,,53.05,1.64,14.43,2.28,6.51,0.143,6.07,9.40,4.07,1.99,0.408
SSC05,,53.16,1.60,14.54,2.20,6.29,0.133,6.13,9.49,4.08,1.94,0.418
SSC06,,53.51,1.56,14.16,2.23,6.38,0.144,6.14,9.41,4.10,1.91,0.442
SSC07,,52.91,1.59,14.08,2.34,6.67,0.144,6.22,9.94,3.97,1.75,0.390
SSC08,,52.71,1.71,14.61,2.27,6.49,0.132,6.07,9.69,4.02,1.88,0.416
SSC09,,52.73,1.66,14.80,2.31,6.61,0.142,5.91,9.42,4.13,1.94,0.355
SSC10,,52.95,1.69,14.39,2.36,6.76,0.143,6.04,9.29,4.30,1.69,0.387
SSC11,,52.68,1.82,14.26,2.32,6.62,0.122,5.80,9.55,4.34,2.02,0.470
SSC12,,53.00,1.62,14.83,2.28,6.51,0.132,5.81,9.50,3.91,2.07,0.356
SSC13,,52.86,1.63,14.49,2.30,6.56,0.133,6.12,9.56,4.05,1.91,0.389
SSC14,,53.10,1.61,14.36,2.22,6.35,0.133,6.16,9.74,4.02,1.90,0.420
