NAME,,SIO2ADJ,TIO2ADJ,AL2O3ADJ,FE2O3ADJ,FEOADJ,MNOADJ,MGOADJ,CAOADJ,NA2OADJ,K2OADJ,P2O5ADJ,La,Yb,Sm,Th,Nb,Ni,V,Y,Zr,Ce
,,51.39,1.588,17.3,7.12,,0.084,2.72,6.47,4.36,2.13,0.74,48.88,3.35,9.86,6.74,30.94,116.66,160,47.29,284.27,107.97
,,51.46,1.525,16.68,9.23,,0.12,2.46,6.93,3.87,1.61,0.71,43.18,3.11,8.88,6.16,25.51,87.10,158,40.15,243.10,95.69
,,,,,,,,,,,,,,,,,,,,,,
,,51.35,1.072,18.02,10.47,,0.172,3.9,7.91,4.38,0.35,0.17,8.75,1.63,2.79,1.53,3.59,57.60,189,18.02,65.12,21.18
,,50.58,1.286,17.51,9.82,,0.148,4.8,7.56,4.17,0.77,0.3,23.17,2.53,5.69,2.62,10.84,120.42,177,35.85,127.20,43.74
,,50.76,1.368,17.06,10.24,,0.144,4.56,7.25,4.25,0.81,0.31,20.43,2.40,5.23,2.59,9.38,84.10,185,31.57,111.39,39.09
,,51.54,1.398,17.41,9.57,,0.112,3.46,7.38,4.26,0.85,0.32,19.83,2.34,5.13,2.59,6.75,78.41,188,30.37,108.17,38.06
,,51.61,1.538,16.29,9.69,,0.122,4.31,6.82,3.99,1.84,0.58,25.59,2.82,7.29,4.45,20.34,87.83,176,36.14,200.84,71.20
,,51.07,1.527,16.84,10.49,,0.152,5.35,7.43,4,1.39,0.53,20.82,2.49,6.42,4.00,18.59,94.54,181,32.30,163.67,58.86
,,52.29,1.339,17.21,9.35,,0.141,3.85,7.09,4.42,0.81,0.3,18.85,2.48,5.41,2.75,6.00,83.48,187,29.37,117.48,40.04
,,52.52,1.358,16.91,10.03,,0.14,4.32,7.5,4.23,0.66,0.33,21.66,2.46,5.42,2.76,7.22,79.43,188,32.07,114.19,41.09
,,52.08,1.246,17.2,9.46,,0.122,4.76,7.24,4.33,0.77,0.28,16.68,2.17,4.75,2.43,8.44,86.84,174,27.84,151.60,35.73
,,51.37,1.538,16.97,10.74,,0.154,5.97,7.26,4.59,1.21,0.31,15.02,1.98,4.33,2.47,13.70,91.83,186,25.96,137.58,42.46
,,49.91,1.4,17.4,10.39,,0.146,6.03,7.57,4,1.13,0.29,18.50,2.20,4.75,2.49,8.37,68.21,181,27.78,118.12,35.61
,,50.3,1.408,17.23,10.56,,0.146,6.09,6.51,4.94,1.08,0.29,14.99,2.15,4.64,2.50,15.47,132.15,179,30.35,140.20,46.25
,,,,,,,,,,,,,,,,,,,,,,
,,52.84,1.281,17,10.22,,0.129,4.15,7.47,4.34,0.89,0.32,14.81,1.87,4.11,2.16,8.98,80.81,196,24.52,120.92,41.40
,,50.59,1.965,16.81,10.5,,0.195,2.81,7.61,4.06,1.95,1.23,46.71,3.24,11.89,4.27,9.89,43.56,285,45.98,238.71,125.49
,,52.18,1.32,17.17,9.04,,0.162,2.98,7.96,3.87,0.78,0.33,21.97,2.40,4.97,2.84,10.88,119.44,183,30.42,161.43,52.31
,,46.6,1.742,17.13,10.68,,0.22,6.21,8.19,3.05,0.85,0.4,33.86,3.49,6.98,4.21,6.38,53.13,217,41.50,191.20,56.77
,,53.72,1.671,15.45,8.74,,0.198,3.78,4.92,5.18,2.43,0.51,48.92,5.95,11.00,6.80,13.86,27.75,151,72.12,277.93,92.27
,,61.44,1.141,16.77,5.5,,0.131,1.53,3.06,5.45,3.09,0.42,48.07,4.19,10.51,12.31,9.15,2.73,81,49.90,170.73,125.84
,,58.43,1.316,16.34,7.05,,0.134,2.22,4.28,4.9,2.65,0.63,50.25,4.43,9.65,10.44,8.40,5.05,122,56.27,175.97,81.87
